average,campus,course,course_title,detail,educators,faculty_title,grades/50-54%,grades/55-59%,grades/60-63%,grades/64-67%,grades/68-71%,grades/72-75%,grades/76-79%,grades/80-84%,grades/85-89%,grades/90-100%,grades/<50%,high,low,median,percentile_25,percentile_75,reported,section,session,subject,subject_title,year
92.7,UBCV,550,Topics in Animal Welfare,,Alexandra Protopopova,Faculty of Land and Food Systems,0,0,0,0,0,0,0,0,0,11,0,95,90,95,90,95,11,001,W,AANB,Applied Animal Biology,2021
78,UBCV,250,Asian Canadians in Popular Culture,,John Paul Catungal,Faculty of Arts,,,,,,,,17,12,,,93,46,80,73.3,85,50,001,W,ACAM,Asian Canadian and Asian Migration Studies,2021
77.6,UBCV,300,Dis/Orienting Asian Canada,,Laura Ishiguro,Faculty of Arts,,,,,,,10,8,16,,,91,5,82,77,87,48,001,W,ACAM,Asian Canadian and Asian Migration Studies,2021
81.6,UBCV,320,Selected Topics in ACAM Studies,B,Benjamin Cheung,Faculty of Arts,,,,,,,,14,18,7,,92,52,84,79.5,87,52,001,W,ACAM,Asian Canadian and Asian Migration Studies,2021
80.9,UBCV,320,Selected Topics in ACAM Studies,D,Danielle Wong,Faculty of Arts,,,,,,,,,,,,86,75,82,79,83,12,001,W,ACAM,Asian Canadian and Asian Migration Studies,2021
84.9,UBCV,350,Asian Canadian Community-Based Media,,Alejandro Yoshizawa,Faculty of Arts,,,,,,,,6,9,,,90,77,85.5,82,87.8,18,001,W,ACAM,Asian Canadian and Asian Migration Studies,2021
81.1,UBCV,327,Teaching Adults,,Hongxia Shan,Faculty of Education,,,,,,,,10,9,,,95,50,83,78,86,29,63A,W,ADHE,Adult and Higher Education,2021
83.7,UBCV,327,Teaching Adults,,Dave Smulders,Faculty of Education,,,,,,,,7,7,8,,94,55,86.5,80,90,28,63B,W,ADHE,Adult and Higher Education,2021
88.3,UBCV,327,Teaching Adults,,Vicheth Sen,Faculty of Education,,,,,,,,,9,12,,96,68,89,86,92,25,63C,W,ADHE,Adult and Higher Education,2021
78.7,UBCV,327,Teaching Adults,,Dave Smulders,Faculty of Education,,,,,,,,8,7,,,94,0,83,77,88,28,63D,W,ADHE,Adult and Higher Education,2021
78.7,UBCV,327,Teaching Adults,,Vicheth Sen,Faculty of Education,,,,,,,,,8,,,91,56,79,74,85.5,27,63E,W,ADHE,Adult and Higher Education,2021
81.6,UBCV,327,Teaching Adults,,Sharon Jarvis,Faculty of Education,,,,,,,,9,7,6,,97,0,84,81,89,27,63F,W,ADHE,Adult and Higher Education,2021
86.4,UBCV,328,Institutions of Adult Education,,Kari Grain,Faculty of Education,,,,,,,,,,12,,98,0,93,87,94,19,63A,W,ADHE,Adult and Higher Education,2021
81.4,UBCV,328,Institutions of Adult Education,,Vicheth Sen,Faculty of Education,,,,,,,,6,6,,,86,71,84,78.8,85,16,63B,W,ADHE,Adult and Higher Education,2021
87.4,UBCV,328,Institutions of Adult Education,,Kari Grain,Faculty of Education,,,,,,,,,10,14,,95,62,89.5,87,90,28,63C,W,ADHE,Adult and Higher Education,2021
84.4,UBCV,328,Institutions of Adult Education,,Kari Grain,Faculty of Education,,,,,,,,,8,12,,93,40,89,83.5,90.3,28,63D,W,ADHE,Adult and Higher Education,2021
78,UBCV,328,Institutions of Adult Education,,Vicheth Sen,Faculty of Education,,,,,,,,15,,,,87,60,81.5,76,83,24,63E,W,ADHE,Adult and Higher Education,2021
85.6,UBCV,328,Institutions of Adult Education,,Kari Grain,Faculty of Education,,,,,,,,6,,12,,95,60,88,81,91,27,63F,W,ADHE,Adult and Higher Education,2021
84.6,UBCV,329,"Developing Short Courses, Workshops and Seminars",,Omer Aijazi,Faculty of Education,,,,,,,,,12,7,,95,63,86,84,89.3,28,63A,W,ADHE,Adult and Higher Education,2021
79.7,UBCV,329,"Developing Short Courses, Workshops and Seminars",,Vicheth Sen,Faculty of Education,,,,,,,,9,8,,,88,67,80.5,77.3,85,28,63B,W,ADHE,Adult and Higher Education,2021
90.2,UBCV,329,"Developing Short Courses, Workshops and Seminars",,Sharon Jarvis,Faculty of Education,,,,,,,,,,27,,98,0,94,92,96,29,63C,W,ADHE,Adult and Higher Education,2021
83.8,UBCV,329,"Developing Short Courses, Workshops and Seminars",,Omer Aijazi,Faculty of Education,,,,,,,,,7,10,,92,65,86,82,91,29,63D,W,ADHE,Adult and Higher Education,2021
79.6,UBCV,329,"Developing Short Courses, Workshops and Seminars",,Vicheth Sen,Faculty of Education,,,,,,,7,11,,,,87,66,80,78,82.8,26,63E,W,ADHE,Adult and Higher Education,2021
83.2,UBCV,329,"Developing Short Courses, Workshops and Seminars",,Sharon Jarvis,Faculty of Education,,,,,,,,,7,10,,96,0,88,80.5,90.8,26,63F,W,ADHE,Adult and Higher Education,2021
84.8,UBCV,330,The Community Practice of Adult Education,,Alison Taylor,Faculty of Education,,,,,,,,11,15,,,89,76,85,84,86,27,022,W,ADHE,Adult and Higher Education,2021
80.9,UBCV,330,The Community Practice of Adult Education,,Lindsay Cole,Faculty of Education,,,,,,,,,,7,,96,56,83,74.3,89.3,26,63A,W,ADHE,Adult and Higher Education,2021
79.9,UBCV,330,The Community Practice of Adult Education,,Lindsay Cole,Faculty of Education,,,,,,,,7,,,,98,52,82.5,76,86,26,63B,W,ADHE,Adult and Higher Education,2021
83.1,UBCV,330,The Community Practice of Adult Education,,Lindsay Cole,Faculty of Education,,,,,,,,6,,7,,94,61,84,80,90,21,63C,W,ADHE,Adult and Higher Education,2021
83.9,UBCV,330,The Community Practice of Adult Education,,Bathseba Opini,Faculty of Education,,,,,,,,6,14,,,92,65,86,82,87,25,63D,W,ADHE,Adult and Higher Education,2021
81.3,UBCV,330,The Community Practice of Adult Education,,Stephanie Glick,Faculty of Education,,,,,,,,9,10,,,92,0,85,81.5,86.8,26,63E,W,ADHE,Adult and Higher Education,2021
75.2,UBCV,412,An Overview of Adult Education,,Carolina Palacios,Faculty of Education,,,,,,,7,6,,,,87,50,76.5,73,80.5,28,63A,W,ADHE,Adult and Higher Education,2021
71.6,UBCV,412,An Overview of Adult Education,,Carolina Palacios,Faculty of Education,,,,,,6,8,,,,,90,0,77,72.5,79,27,63B,W,ADHE,Adult and Higher Education,2021
73.2,UBCV,412,An Overview of Adult Education,,Carolina Palacios,Faculty of Education,,,,,,7,,,,,,90,42,74,71.3,79.5,26,63C,W,ADHE,Adult and Higher Education,2021
73.8,UBCV,412,An Overview of Adult Education,,Carolina Palacios,Faculty of Education,,,,,,7,,6,,,,88,50,75,72,82.3,26,63D,W,ADHE,Adult and Higher Education,2021
74.3,UBCV,412,An Overview of Adult Education,,Carolina Palacios,Faculty of Education,,,,,,7,6,,,,,90,41,75,72,78.5,24,63E,W,ADHE,Adult and Higher Education,2021
73,UBCV,412,An Overview of Adult Education,,Carolina Palacios,Faculty of Education,,,,,,,6,,,,,86,50,74,69.5,77,23,63F,W,ADHE,Adult and Higher Education,2021
78.6,UBCV,250,Introduction to African Studies,A,Joann Anokwuru;Justice Gbolonyo,Faculty of Arts,,,,,,,,,12,9,,94,21,85,71,89,41,001,W,AFST,African Studies,2021
78.8,UBCV,250,Introduction to African Studies,A,Joann Anokwuru;Justice Gbolonyo,Faculty of Arts,,,,,,,6,6,9,7,,95,0,83,76,88.3,36,002,W,AFST,African Studies,2021
77.8,UBCV,250,Introduction to African Studies,A,Joann Anokwuru;Justice Gbolonyo,Faculty of Arts,,,,,,,,,7,,,92,24,81,78,86,25,003,W,AFST,African Studies,2021
80,UBCV,308,The Languages of Africa,,Joash Gambarage,Faculty of Arts,,,,,,,,,,,,91,66,81,75.3,86,12,002,W,AFST,African Studies,2021
72.5,UBCV,351,Perspectives in African Studies: Literary and Theoretical Approaches,A,Deena Dinat,Faculty of Arts,,,,,,,6,12,,,,88,7,78,72.8,83,36,001,W,AFST,African Studies,2021
80.7,UBCV,352,Perspectives in African Studies: A Social Science Approach,A,Joann Anokwuru;Justice Gbolonyo,Faculty of Arts,,,,,,,,,10,,,89,60,86,71.5,89,18,002,W,AFST,African Studies,2021
63.9,UBCV,370,Literatures and Cultures of Africa and/or the Middle East,A,Suzanne James,Faculty of Arts,,,,,,,,,,,,83,0,74,70,79,11,001,W,AFST,African Studies,2021
86.5,UBCV,450,African Diasporic Culture in African Canadian Communities,R,Calisto Mudzingwa,Faculty of Arts,,,,,,,,,8,6,,93,67,88,86,90,17,001,W,AFST,African Studies,2021
84.2,UBCV,392,Gross Anatomy of the Limbs and Trunk,,Alina Constantin;David Anekwe;Kerrie Roberts;Sean Maurice;Majid Alimohammadi;Fraser Perry;Julia Wimmers Klick;Masoumeh Ghodousi;Sean Campbell;Harminder Toor;Rae Marchal,Faculty of Medicine,,,,,,6,11,19,29,28,,97,64,86,80,90,100,001,W,ANAT,Anatomy,2021
95.3,UBCV,511,Fundamentals of Body Design: Basic Principles in Human Anatomy as Illustrated by the Organization of the Back and Upper Limb,,Claudia Krebs,Faculty of Medicine,,,,,,,,,,7,,99,85,97.5,94.3,98,8,001,W,ANAT,Anatomy,2021
75.3,UBCV,100,Introduction to Cultural Anthropology,A,Amirpouyan Shiva,Faculty of Arts,,,,,7,39,31,15,,,,90,53,75,73,78,100,002,W,ANTH,Anthropology,2021
81.4,UBCV,100,Introduction to Cultural Anthropology,A,Sara Shneiderman,Faculty of Arts,,,,6,6,6,10,25,38,41,,97,0,85,78,90,143,003,W,ANTH,Anthropology,2021
74.7,UBCV,100,Introduction to Cultural Anthropology,A,Amirpouyan Shiva,Faculty of Arts,,,,,17,30,32,32,6,,,87,0,76,72,80,127,004,W,ANTH,Anthropology,2021
73.8,UBCV,100,Introduction to Cultural Anthropology,A,Wade Davis,Faculty of Arts,6,9,14,21,28,31,56,70,42,20,21,96,0,77,69,83,318,100,W,ANTH,Anthropology,2021
66,UBCV,201,Ethnic Relations,,David Ryniker,Faculty of Arts,,,,,9,,,8,,,,91,0,68,59,80,37,001,W,ANTH,Anthropology,2021
79.6,UBCV,202,Contemporary Social Problems,A,Sabina Magliocco,Faculty of Arts,,,,,,10,21,30,34,27,8,98,0,83,76.5,88,143,001,W,ANTH,Anthropology,2021
71.3,UBCV,202,Contemporary Social Problems,B,Zhichun Jing,Faculty of Arts,,,,,,7,8,14,13,,9,94,0,80,73,85,59,001,W,ANTH,Anthropology,2021
70.8,UBCV,203,Anthropology of Drugs,,Shaylih Muehlmann,Faculty of Arts,8,8,12,16,32,36,18,25,,,,90,32,72,66,76,160,001,W,ANTH,Anthropology,2021
76.5,UBCV,203,Anthropology of Drugs,,Danya Fast,Faculty of Arts,7,8,,,,,13,25,30,23,6,95,5,82,71,88,129,200,W,ANTH,Anthropology,2021
72,UBCV,205,The Anthropology of Insurrections and Revolution,,Gaston Gordillo,Faculty of Arts,,,7,9,12,12,15,15,6,6,,94,0,75,65.8,80,92,001,W,ANTH,Anthropology,2021
81,UBCV,206,"Witches, Vampires, and Zombies: Anthropology of the Supernatural",,Sabina Magliocco,Faculty of Arts,,,,,7,10,21,25,37,32,,98,0,84,77,89,145,002,W,ANTH,Anthropology,2021
73.5,UBCV,210,Eating Culture,,Caitlin Gordon-Walker,Faculty of Arts,,7,,10,15,28,26,28,10,,,88,1,75,69,80,132,001,W,ANTH,Anthropology,2021
73.1,UBCV,213,"Sex, Gender, and Culture",,Rafael Wainer,Faculty of Arts,6,7,,,13,17,10,19,10,6,,96,19,75,68,83,97,002,W,ANTH,Anthropology,2021
70.5,UBCV,215,Japanese Popular Culture,,Millie Creighton,Faculty of Arts,,,10,7,6,13,10,19,,,,90,0,74,65,80,75,002,W,ANTH,Anthropology,2021
75,UBCV,217,Culture and Communication,,Patrick Moore,Faculty of Arts,,,,,,14,12,14,8,6,,94,1,76,72,83,69,002,W,ANTH,Anthropology,2021
81.2,UBCV,220,First Nations of British Columbia,,Charles Menzies,Faculty of Arts,,,,,,13,10,44,48,22,,100,5,84,79,87.8,154,002,W,ANTH,Anthropology,2021
76.1,UBCV,227,Introduction to Medical Anthropology,,Vinay Ramnath Kamat,Faculty of Arts,,,,11,6,23,27,19,16,6,,93,9,78,72,82.3,116,001,W,ANTH,Anthropology,2021
78.8,UBCV,300,Contemporary Anthropological Theory,A,Shaylih Muehlmann,Faculty of Arts,,,,,,,9,16,9,,,89,56,80,76.8,82.3,44,001,W,ANTH,Anthropology,2021
74.1,UBCV,300,Contemporary Anthropological Theory,B,Amirpouyan Shiva,Faculty of Arts,,,,,,,14,8,,,,95,0,78,73,80.8,38,002,W,ANTH,Anthropology,2021
77,UBCV,303,Ethnography of Special Areas,C,Andrew Martindale,Faculty of Arts,,,,,,,,8,13,,,95,7,82.5,73.5,87,42,200,W,ANTH,Anthropology,2021
83.6,UBCV,303,Ethnography of Special Areas,D,Kate Kingsbury,Faculty of Arts,,,,,,,,,8,13,,97,39,88,78,92,33,001,W,ANTH,Anthropology,2021
76.1,UBCV,308,Ethnography of Sub-Saharan Africa,,Vinay Ramnath Kamat,Faculty of Arts,,,,,,7,10,9,8,,,90,28,78,72,83,49,001,W,ANTH,Anthropology,2021
73.5,UBCV,315,Japanese Culture and Society,,Simon Nantais,Faculty of Arts,,,,,9,7,13,6,6,,,89,0,76,70,79.3,48,002,W,ANTH,Anthropology,2021
